platform,role,canonical_status,best_object,timing
GitHub,canonical living source,yes,"Markdown, metadata, build files, records",first
Zenodo,archival DOI release,yes,"GitHub release archive, PDF, HTML, Markdown",after GitHub release
OSF,discovery hub or preprint,secondary,"project page, optional preprint, supplemental files",after GitHub release and Zenodo DOI
Octopus,modular research-process record,optional,problem/method/results/interpretation/application records,after stable paper
SSRN,discipline-facing preprint,optional,preprint PDF,optional
Mendeley Data,data package only,no for paper,curated data/materials only,optional later
Dryad,curated data package only,no for paper,research data only,usually not needed
ResearchGate,dissemination profile,no,link or licensed mirror,after DOI
Academia.edu,dissemination profile,no,link or licensed mirror,after DOI
OER Commons / VIVA Open,teaching derivative,no,workbook/module,later
